"tourney_id","tourney_year","tourney_order","tourney_name","tourney_slug","tourney_location","tourney_dates","tourney_month","tourney_day","tourney_singles_draw","tourney_doubles_draw","tourney_conditions","tourney_surface","tourney_fin_commit","tourney_url_suffix","singles_winner_name","singles_winner_url","singles_winner_player_slug","singles_winner_player_id","doubles_winner_1_name","doubles_winner_1_url","doubles_winner_1_player_slug","doubles_winner_1_player_id","doubles_winner_2_name","doubles_winner_2_url","doubles_winner_2_player_slug","doubles_winner_2_player_id","tourney_year_id","tourney_lat","tourney_long"
338,2017,4,"Sydney International","sydney","Sydney, Australia","2017.01.08",1,8,28,28,"Outdoor","Hard-Outdoor","$495,630","/en/scores/archive/sydney/338/2017/results","Gilles Muller","/en/players/gilles-muller/ma30/overview","gilles-muller","ma30","Wesley Koolhof","/en/players/wesley-koolhof/kc41/overview","wesley-koolhof","kc41","Matwe Middelkoop","/en/players/matwe-middelkoop/mb88/overview","matwe-middelkoop","mb88","2017-338",-33.8688197,151.2092955
339,2017,1,"Brisbane International presented by Suncorp","brisbane","Brisbane, Australia","2017.01.01",1,1,28,28,"Outdoor","Hard-Outdoor","$495,630","/en/scores/archive/brisbane/339/2017/results","Grigor Dimitrov","/en/players/grigor-dimitrov/d875/overview","grigor-dimitrov","d875","Thanasi Kokkinakis","/en/players/thanasi-kokkinakis/kd46/overview","thanasi-kokkinakis","kd46","Jordan Thompson","/en/players/jordan-thompson/tc61/overview","jordan-thompson","tc61","2017-339",-27.4697707,153.0251235
341,2017,54,"Moselle Open","metz","Metz, France","2017.09.18",9,18,28,28,"Indoor","Hard-Indoor","€540,310","/en/scores/archive/metz/341/2017/results","Peter Gojowczyk","/en/players/peter-gojowczyk/g967/overview","peter-gojowczyk","g967","Julien Benneteau","/en/players/julien-benneteau/b747/overview","julien-benneteau","b747","Edouard Roger-Vasselin","/en/players/edouard-roger-vasselin/r613/overview","edouard-roger-vasselin","r613","2017-341",49.1193089,6.1757156
352,2017,66,"Rolex Paris Masters","paris","Paris, France","2017.10.30",10,30,48,48,"Indoor","Hard-Indoor","€4,835,975","/en/scores/archive/paris/352/2017/results","Jack Sock","/en/players/jack-sock/sm25/overview","jack-sock","sm25","Lukasz Kubot","/en/players/lukasz-kubot/k540/overview","lukasz-kubot","k540","Marcelo Melo","/en/players/marcelo-melo/m919/overview","marcelo-melo","m919","2017-352",48.856614,2.3522219
360,2017,22,"Grand Prix Hassan II","marrakech","Marrakech, Morocco","2017.04.10",4,10,28,28,"Outdoor","Clay","€540,310","/en/scores/archive/marrakech/360/2017/results","Borna Coric","/en/players/borna-coric/cg80/overview","borna-coric","cg80","Dominic Inglot","/en/players/dominic-inglot/i200/overview","dominic-inglot","i200","Mate Pavic","/en/players/mate-pavic/pf00/overview","mate-pavic","pf00","2017-360",31.6294723,-7.9810845
375,2017,7,"Open Sud de France","montpellier","Montpellier, France","2017.02.06",2,6,28,28,"Indoor","Hard-Indoor","€540,310","/en/scores/archive/montpellier/375/2017/results","Alexander Zverev","/en/players/alexander-zverev/z355/overview","alexander-zverev","z355","Mischa Zverev","/en/players/mischa-zverev/z168/overview","mischa-zverev","z168","Alexander Zverev","/en/players/alexander-zverev/z355/overview","alexander-zverev","z355","2017-375",43.610769,3.876716
402,2017,11,"Memphis Open","memphis","Memphis, United States","2017.02.13",2,13,28,28,"Indoor","Hard-Indoor","$720,410","/en/scores/archive/memphis/402/2017/results","Ryan Harrison","/en/players/ryan-harrison/h940/overview","ryan-harrison","h940","Brian Baker","/en/players/brian-baker/ba23/overview","brian-baker","ba23","Nikola Mektic","/en/players/nikola-mektic/mf09/overview","nikola-mektic","mf09","2017-402",35.1495343,-90.0489801
403,2017,20,"Miami Open presented by Itaú","miami","Miami, United States","2017.03.22",3,22,96,96,"Outdoor","Hard-Outdoor","$7,913,405","/en/scores/archive/miami/403/2017/results","Roger Federer","/en/players/roger-federer/f324/overview","roger-federer","f324","Lukasz Kubot","/en/players/lukasz-kubot/k540/overview","lukasz-kubot","k540","Marcelo Melo","/en/players/marcelo-melo/m919/overview","marcelo-melo","m919","2017-403",25.7616798,-80.1917902
404,2017,19,"BNP Paribas Open","indian-wells","Indian Wells, United States","2017.03.09",3,9,96,96,"Outdoor","Hard-Outdoor","$7,913,405","/en/scores/archive/indian-wells/404/2017/results","Roger Federer","/en/players/roger-federer/f324/overview","roger-federer","f324","Raven Klaasen","/en/players/raven-klaasen/k609/overview","raven-klaasen","k609","Rajeev Ram","/en/players/rajeev-ram/r548/overview","rajeev-ram","r548","2017-404",33.717631,-116.3407549
407,2017,12,"ABN Amro World Tennis Tournament","rotterdam","Rotterdam, Netherlands","2017.02.13",2,13,32,32,"Indoor","Hard-Indoor","€1,854,365","/en/scores/archive/rotterdam/407/2017/results","Jo-Wilfried Tsonga","/en/players/jo-wilfried-tsonga/t786/overview","jo-wilfried-tsonga","t786","Ivan Dodig","/en/players/ivan-dodig/d646/overview","ivan-dodig","d646","Marcel Granollers","/en/players/marcel-granollers/g710/overview","marcel-granollers","g710","2017-407",51.9244201,4.4777326
