"tourney_id","tourney_lat","tourney_long"
"339",-27.4697707,153.0251235
"891",13.0826802,80.2707184
"451",25.2854473,51.5310398
"338",-33.8688197,151.2092955
"301",-36.8484597,174.7633315
"580",-37.8136276,144.9630576
"375",43.610769,3.876716
"7161",-0.1806532,-78.4678382
"7434",42.6977082,23.3218675
"506",-34.6036844,-58.3815591
"402",35.1495343,-90.0489801
"407",51.9244201,4.4777326
"499",26.4614625,-80.0728201
"496",43.296482,5.36978
"6932",-22.9068467,-43.1728965
"807",16.8531086,-99.8236533
"495",25.2048493,55.2707828
"533",-23.5505199,-46.6333094
"404",33.717631,-116.3407549
"403",25.7616798,-80.1917902
"717",29.7604267,-95.3698028
"360",31.6294723,-7.9810845
"410",43.7400718,7.4266436
"425",41.3850639,2.1734035
"7648",47.497912,19.040235
"7290",38.7133152,-9.3936558
"7163",41.0082376,28.9783589
"308",48.1351253,11.5819805
"1536",40.4167754,-3.7037902
"416",41.9027835,12.4963655
"322",46.2043907,6.1431577
"7694",45.764043,4.835659
"520",48.856614,2.3522219
"440",51.6978162,5.3036748
"321",48.7758459,9.1829321
"500",51.4969802,11.9688029
"311",51.5073509,-0.1277583
"7650",36.8968908,30.7133233
"741",50.768035,0.290472
"540",51.5073509,-0.1277583
"316",56.4273888,12.8477217
"315",41.4901024,-71.3128285
"439",45.4372062,13.5257205
"6116",33.7489954,-84.3879824
"314",46.4717588,7.2865728
"414",53.5510846,9.9936819
"319",47.4492375,12.3925407
"7480",23.0798696,-109.7124043
"418",47.7510741,-120.7401385
"421",45.5016889,-73.567256
"422",39.1031182,-84.5120196
"6242",36.0998596,-80.244216
"560",40.7127753,-74.0059728
"341",49.1193089,6.1757156
"568",59.9342802,30.3350986
"7581",30.572815,104.066801
"6967",22.543096,114.057865
"747",39.9041999,116.4073963
"329",35.6894875,139.6917064
"5014",31.2303904,121.4737021
"7485",51.2194475,4.4024643
"438",55.755826,37.6172999
"429",59.3293235,18.0685808
"328",47.5595986,7.5885761
"337",48.2081743,16.3738189
"352",48.856614,2.3522219
"605",51.5073509,-0.1277583
